Epoch,Loss,class_accuracy,discr_accuracy,class_loss,discr_loss
1,0.5186167359352112,0.7104322910308838,0.5219184160232544,0.5186167359352112,0.6584287285804749
2,0.4897974729537964,0.7114000916481018,0.515711784362793,0.4897974729537964,0.6542379856109619
3,0.4876919686794281,0.7108400464057922,0.508593738079071,0.4876919686794281,0.6532235145568848
4,0.48628103733062744,0.7128055095672607,0.5139322876930237,0.48628103733062744,0.6516828536987305
5,0.48559117317199707,0.7121452689170837,0.5170139074325562,0.48559117317199707,0.6500917077064514
6,0.4833301603794098,0.7142963409423828,0.5168836712837219,0.4833301603794098,0.6481838822364807
7,0.4824236035346985,0.7154324054718018,0.5218750238418579,0.4824236035346985,0.6451730132102966
8,0.48103442788124084,0.7155780792236328,0.5247395634651184,0.48103442788124084,0.6432996988296509
9,0.48077061772346497,0.7163129448890686,0.5203558802604675,0.48077061772346497,0.6424487233161926
10,0.48106053471565247,0.7155990600585938,0.5211805701255798,0.48106053471565247,0.6403809189796448
11,0.4803430438041687,0.7165693044662476,0.521484375,0.4803430438041687,0.6407430171966553
12,0.48044708371162415,0.7147048711776733,0.5274739861488342,0.48044708371162415,0.639680802822113
13,0.48055025935173035,0.7151831388473511,0.5295138955116272,0.48055025935173035,0.6400632262229919
14,0.47987696528434753,0.7173492908477783,0.5286024212837219,0.47987696528434753,0.6386556625366211
15,0.4813452959060669,0.7143353819847107,0.5335069298744202,0.4813452959060669,0.6384319067001343
16,0.4770147502422333,0.7212842106819153,0.5288194417953491,0.4770147502422333,0.638123095035553
17,0.47894287109375,0.7184639573097229,0.5289496779441833,0.47894287109375,0.6370893120765686
18,0.4790518879890442,0.7171576619148254,0.5278211832046509,0.4790518879890442,0.6366488337516785
19,0.4783814251422882,0.7182598114013672,0.533203125,0.4783814251422882,0.6355945467948914
20,0.47959446907043457,0.7150992155075073,0.531163215637207,0.47959446907043457,0.6355878710746765
21,0.47946879267692566,0.7158328890800476,0.5257378220558167,0.47946879267692566,0.6355515718460083
22,0.4780782163143158,0.7192286849021912,0.5299913287162781,0.4780782163143158,0.635867714881897
23,0.47928908467292786,0.7154603004455566,0.532031238079071,0.47928908467292786,0.636177122592926
24,0.4782513380050659,0.719002902507782,0.5327256917953491,0.4782513380050659,0.6358514428138733
25,0.47789403796195984,0.7192708849906921,0.5280815958976746,0.47789403796195984,0.6356382369995117
26,0.47860077023506165,0.7177690863609314,0.5269097089767456,0.47860077023506165,0.6345708966255188
27,0.4779759347438812,0.7170964479446411,0.533203125,0.4779759347438812,0.6338182091712952
28,0.47876206040382385,0.7168121933937073,0.5335503220558167,0.47876206040382385,0.6339409947395325
29,0.4792911410331726,0.7155390977859497,0.5330294966697693,0.4792911410331726,0.6337500214576721
30,0.47912704944610596,0.7154147028923035,0.5338541865348816,0.47912704944610596,0.6338343024253845
