Epoch,Loss,class_accuracy,discr_accuracy,class_loss,discr_loss
1,0.6587609648704529,0.6691057085990906,0.6278409361839294,0.6587609648704529,0.6696243286132812
2,0.5884721279144287,0.7115541100502014,0.6058238744735718,0.5884721279144287,0.6681180000305176
3,0.5461512207984924,0.7119476199150085,0.5369318127632141,0.5461512207984924,0.6684121489524841
4,0.5257300734519958,0.7186481952667236,0.5241477489471436,0.5257300734519958,0.6666988134384155
5,0.5115928053855896,0.7053101062774658,0.515625,0.5115928053855896,0.6666414737701416
6,0.5044427514076233,0.7135332226753235,0.5234375,0.5044427514076233,0.6651220321655273
7,0.5023884177207947,0.6946011185646057,0.5142045617103577,0.5023884177207947,0.6677998304367065
8,0.49644917249679565,0.7080441117286682,0.5142045617103577,0.49644917249679565,0.6674003005027771
9,0.4968092739582062,0.7107070684432983,0.5291193127632141,0.4968092739582062,0.6643692851066589
10,0.49035319685935974,0.7225832939147949,0.546875,0.49035319685935974,0.6645315289497375
11,0.48529693484306335,0.724602222442627,0.5411931872367859,0.48529693484306335,0.6683084964752197
12,0.4881952106952667,0.7137637138366699,0.53125,0.4881952106952667,0.6681614518165588
13,0.4954746961593628,0.7074360251426697,0.546875,0.4954746961593628,0.6653516888618469
14,0.49236783385276794,0.7113276720046997,0.5504261255264282,0.49236783385276794,0.6651358008384705
15,0.4890010952949524,0.7163577675819397,0.5596590638160706,0.4890010952949524,0.6651283502578735
16,0.48544299602508545,0.7173647880554199,0.5561079382896423,0.48544299602508545,0.664111852645874
17,0.4878808259963989,0.7193195819854736,0.5404829382896423,0.4878808259963989,0.6680658459663391
18,0.48702603578567505,0.7188511490821838,0.5674715638160706,0.48702603578567505,0.6651546955108643
19,0.487174391746521,0.711569607257843,0.5454545617103577,0.487174391746521,0.6668170094490051
20,0.4865607023239136,0.7156224846839905,0.5568181872367859,0.4865607023239136,0.6658351421356201
21,0.4979414641857147,0.6941272616386414,0.5490056872367859,0.4979414641857147,0.665686845779419
22,0.4864511787891388,0.7142857313156128,0.5632102489471436,0.4864511787891388,0.6645686626434326
23,0.4934321343898773,0.705498993396759,0.5355113744735718,0.4934321343898773,0.6685110330581665
24,0.48519423604011536,0.7159739136695862,0.5532670617103577,0.48519423604011536,0.6665732264518738
25,0.48306044936180115,0.729915201663971,0.5767045617103577,0.48306044936180115,0.665794849395752
26,0.49234601855278015,0.7083501219749451,0.5582386255264282,0.49234601855278015,0.667148232460022
27,0.48365914821624756,0.7160292863845825,0.5454545617103577,0.48365914821624756,0.6666897535324097
28,0.4945606291294098,0.7037337422370911,0.5348011255264282,0.4945606291294098,0.6676635146141052
29,0.4900020360946655,0.7158067226409912,0.5475852489471436,0.4900020360946655,0.6655521988868713
30,0.48951590061187744,0.7031441330909729,0.5532670617103577,0.48951590061187744,0.6647284030914307
